run_id,structured_event_id,event_id,event_date,event_subject_type,duration_type,predictability_type,industry_type,heat_score,intensity_score,impact_scope,ts_code,final_link_score,analysis_mode,benchmark,benchmark_source,token_source,stock_source,estimation_window,event_windows,estimation_points,alpha,beta,heat_bucket,intensity_bucket,car_w1,car_w3,car_w5
TOKEN_FIX_CHECK_20260403,10,EVT-9b71b05f3e,2026-04-01,政策类,中期型,预披露型,新能源,52,72,行业,600089.SH,0.9300,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,0.00681313,1.90848048,mid,high,-0.038557,,
TOKEN_FIX_CHECK_20260403,10,EVT-9b71b05f3e,2026-04-01,政策类,中期型,预披露型,新能源,52,72,行业,688390.SH,0.9300,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,0.00613911,1.59492663,mid,high,-0.115281,,
TOKEN_FIX_CHECK_20260403,10,EVT-9b71b05f3e,2026-04-01,政策类,中期型,预披露型,新能源,52,72,行业,300750.SZ,0.9300,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00108279,1.35884812,mid,high,-0.008098,,
TOKEN_FIX_CHECK_20260403,10,EVT-9b71b05f3e,2026-04-01,政策类,中期型,预披露型,新能源,52,72,行业,002594.SZ,0.9300,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00094202,0.90763703,mid,high,-0.038610,,
TOKEN_FIX_CHECK_20260403,11,EVT-e65e4f0067,2026-04-01,行业类,中期型,预披露型,消费,52,64,行业,600258.SH,0.9050,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,0.00142672,0.01790777,mid,mid,0.039730,,
TOKEN_FIX_CHECK_20260403,12,EVT-0b272d5098,2026-04-01,政策类,长尾型,预披露型,科技,64,78,全市场,688256.SH,0.9050,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00169680,1.57834101,mid,high,0.012610,,
TOKEN_FIX_CHECK_20260403,10,EVT-9b71b05f3e,2026-04-01,政策类,中期型,预披露型,新能源,52,72,行业,600406.SH,0.8217,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,0.00254715,0.80012724,mid,high,-0.006372,,
TOKEN_FIX_CHECK_20260403,11,EVT-e65e4f0067,2026-04-01,行业类,中期型,预披露型,消费,52,64,行业,600600.SH,0.7967,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00074693,0.16806124,mid,mid,0.034553,,
TOKEN_FIX_CHECK_20260403,12,EVT-0b272d5098,2026-04-01,政策类,长尾型,预披露型,科技,64,78,全市场,301236.SZ,0.7717,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00206874,0.96353198,mid,high,0.000053,,
TOKEN_FIX_CHECK_20260403,12,EVT-0b272d5098,2026-04-01,政策类,长尾型,预披露型,科技,64,78,全市场,002415.SZ,0.7717,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00020200,0.78438012,mid,high,-0.005378,,
TOKEN_FIX_CHECK_20260403,12,EVT-0b272d5098,2026-04-01,政策类,长尾型,预披露型,科技,64,78,全市场,002230.SZ,0.7717,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00051130,1.44385352,mid,high,-0.015325,,
TOKEN_FIX_CHECK_20260403,130,EVT-8c63804a7b,2026-03-31,地缘类,中期型,预披露型,科技,48,82,行业,688256.SH,0.9050,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00172679,1.58986428,mid,high,0.034506,,
TOKEN_FIX_CHECK_20260403,13,EVT-559a5a671a,2026-03-31,政策类,中期型,预披露型,消费,52,72,全市场,600258.SH,0.9050,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,0.00149294,-0.02137066,mid,high,0.042682,,
TOKEN_FIX_CHECK_20260403,13,EVT-559a5a671a,2026-03-31,政策类,中期型,预披露型,消费,52,72,全市场,600600.SH,0.7967,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00060117,0.16387362,mid,high,0.018064,,
TOKEN_FIX_CHECK_20260403,130,EVT-8c63804a7b,2026-03-31,地缘类,中期型,预披露型,科技,48,82,行业,002415.SZ,0.7717,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00014113,0.81222660,mid,high,0.000243,,
TOKEN_FIX_CHECK_20260403,130,EVT-8c63804a7b,2026-03-31,地缘类,中期型,预披露型,科技,48,82,行业,301236.SZ,0.7717,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00174853,0.97803332,mid,high,0.016236,,
TOKEN_FIX_CHECK_20260403,130,EVT-8c63804a7b,2026-03-31,地缘类,中期型,预披露型,科技,48,82,行业,002230.SZ,0.7717,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00011246,1.51711046,mid,high,0.001678,,
TOKEN_FIX_CHECK_20260403,14,EVT-aa0d26918a,2026-03-30,政策类,中期型,预披露型,科技,52,72,行业,688256.SH,0.9300,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00178787,1.54890731,mid,high,-0.018734,-0.005746,
TOKEN_FIX_CHECK_20260403,14,EVT-aa0d26918a,2026-03-30,政策类,中期型,预披露型,科技,52,72,行业,002230.SZ,0.7967,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00021352,1.48876509,mid,high,0.006457,-0.009763,
TOKEN_FIX_CHECK_20260403,14,EVT-aa0d26918a,2026-03-30,政策类,中期型,预披露型,科技,52,72,行业,002415.SZ,0.7967,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00001531,0.78411914,mid,high,0.011522,0.005772,
TOKEN_FIX_CHECK_20260403,14,EVT-aa0d26918a,2026-03-30,政策类,中期型,预披露型,科技,52,72,行业,301236.SZ,0.7967,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00176513,0.94101173,mid,high,-0.015927,-0.016331,
TOKEN_FIX_CHECK_20260403,16,EVT-736e0bc71b,2026-03-25,政策类,中期型,突发型,科技,52,90,行业,688256.SH,0.9050,event-study,hs300,sina_index_fallback,missing,sina_stock_fallback,"[-120,-20]","1,3,5",101,-0.00299959,1.58200440,mid,high,0.001350,-0.012852,0.024260
